Agency Code,Agency Name,Agency Type,City,State,Year,Month,Incident,Crime Type,Crime Solved,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Perpetrator Sex,Perpetrator Age,Perpetrator Race,Perpetrator Ethnicity,Relationship,Weapon,Victim Count,Perpetrator Count,Source
HI00100,Hawaii,County Police,Hawaii,Hawaii,1980,June,1,Murder or Manslaughter,Yes,Male,84,White,Not Hispanic,Male,50,White,Not Hispanic,Wife,Handgun,1,0,FBI
HI00100,Hawaii,County Police,Hawaii,Hawaii,1980,January,2,Murder or Manslaughter,No,Male,30,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Rifle,0,1,FBI
HI00100,Hawaii,County Police,Hawaii,Hawaii,1980,February,1,Murder or Manslaughter,No,Male,35,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,1,FBI
HI00100,Hawaii,County Police,Hawaii,Hawaii,1980,April,1,Murder or Manslaughter,No,Male,27,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,1,FBI
HI00100,Hawaii,County Police,Hawaii,Hawaii,1980,April,2,Murder or Manslaughter,No,Male,25,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,1,FBI
HI00100,Hawaii,County Police,Hawaii,Hawaii,1980,June,1,Murder or Manslaughter,Yes,Female,42,Asian/Pacific Islander,Not Hispanic,Male,50,White,Not Hispanic,Wife,Handgun,1,0,FBI
HI00100,Hawaii,County Police,Hawaii,Hawaii,1980,July,1,Murder or Manslaughter,Yes,Male,21,White,Not Hispanic,Male,18,Asian/Pacific Islander,Not Hispanic,Stranger,Knife,0,3,FBI
HI00100,Hawaii,County Police,Hawaii,Hawaii,1980,September,1,Murder or Manslaughter,Yes,Male,39,White,Not Hispanic,Male,40,White,Not Hispanic,Brother,Knife,0,0,FBI
HI00100,Hawaii,County Police,Hawaii,Hawaii,1980,October,1,Murder or Manslaughter,No,Male,24,White,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
HI00100,Hawaii,County Police,Hawaii,Hawaii,1980,November,1,Murder or Manslaughter,Yes,Male,30,Asian/Pacific Islander,Not Hispanic,Male,35,White,Not Hispanic,Stranger,Rifle,0,0,FBI
